Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Cote d'Ivoire,Government,Africa (excl MENA),2007-03-04,Multiparty signed/agreed,Intra,SubPar,1,0,0,0,1
Cote d'Ivoire,Government,Africa (excl MENA),2003-01-23,Multiparty signed/agreed,Intra,SubComp,1,0,1,1,1
Cote d'Ivoire,Government,Africa (excl MENA),2003-01-26,Multiparty signed/agreed,InterIntra,Imp,1,0,1,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2003-03-07,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2005-06-29,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
Cote d'Ivoire,Government,Africa (excl MENA),2006-11-01,Unilateral document,InterIntra,Imp,1,0,0,0,1
Croatia,Government/territory,Europe and Eurasia,1991-12-11,Unilateral document,InterIntra,Pre,1,1,0,0,1
Croatia,Government/territory,Europe and Eurasia,1991-12-16,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Croatia,Government/territory,Europe and Eurasia,1995-08-06,Unilateral document,Intra,SubPar,1,0,0,1,0
Croatia,Government/territory,Europe and Eurasia,1995-08-08,Multiparty signed/agreed,Intra,Cea,1,0,1,0,0
Croatia,Government/territory,Europe and Eurasia,1995-10-03,Multiparty signed/agreed,InterIntra,Pre,1,0,0,1,0
Croatia,Government/territory,Europe and Eurasia,1996-01-15,Unilateral document,InterIntra,Imp,1,0,0,0,1
Croatia,Government/territory,Europe and Eurasia,1996-08-23,Multiparty signed/agreed,InterIntra,SubPar,1,0,0,1,0
